Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent Status of Winner,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
Minneapolis,MN,2021,11/2/2021,Park Board District 5,Steffanie Musich,N,Incumbent,3,1,30308,21990,21990,13331,61%,1,13331,60.6%,77.9%,60.6%,5363,10023,17135,8316,5,13,0,0,0,0,0,475,30,,,Y,N,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Link,Y,,Minneapolis_11022021_ParkBoardDistrict5
Minneapolis,MN,2021,11/2/2021,Park Board District 6,Cathy Abene,N,OpenSeat,4,4,30477,24522,19843,6445,26%,2,11621,58.6%,57.5%,47.4%,9899,15167,14108,5951,11,22,0,0,4679,0,4679,373,38,,,Y,Y,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Link,Y,,Minneapolis_11022021_ParkBoardDistrict6
Minnetonka,MN,2021,11/2/2021,City Council At Large Seat A,Deb Calvert,N,Incumbent,5,1,11350,10787,10787,5886,55%,1,5886,54.6%,69.2%,54.6%,4412,7585,7461,550,20,27,0,0,0,0,0,952,19,,,Y,N,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Link,Y,,Minnetonka_11022021_CityCouncilAtLargeSeatA
Minnetonka,MN,2021,11/2/2021,City Council At Large Seat B,Kimberly Wilburn,N,OpenSeat,5,3,11350,10164,9315,4140,41%,1,4916,52.8%,55.5%,48.4%,4213,7192,5643,1175,17,22,0,0,657,192,849,788,16,,,Y,N,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Link,Y,,Minnetonka_11022021_CityCouncilAtLargeSeatB
Minnetonka,MN,2021,11/2/2021,Mayor,Brad Wiersum,N,Incumbent,2,1,11350,11014,11014,6906,63%,1,6906,62.7%,73.1%,62.7%,2619,2619,8049,335,5,8,0,0,0,0,0,1841,34,,,Y,N,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Link,Y,,Minnetonka_11022021_Mayor
Moab,UT,2021,11/2/2021,Mayor,Joette Langianese,N,OpenSeat,6,5,1845,1845,1756,841,46%,1,937,53.4%,Unknown,50.8%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,89,Unknown,Unknown,,,Unknown,N,20,Grid,Oval,ES&S,Link,N,Administered by Utah County,Moab_11022021_Mayor
New York City,NY,2021,3/23/2021,City Council District 11 special,Eric Dinowitz,Y,OpenSeat,6,6,9555,9813,8767,4401,45%,1,5579,63.6%,Unknown,56.9%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,788,Unknown,Unknown,,,Unknown,N,5,Grid,Oval,Hand count,Link,N,,NewYork_02232021_CityCouncilDistrict11
New York City,NY,2021,3/23/2021,City Council District 15 special,Oswald Feliz,Y,OpenSeat,10,10,3976,3832,3128,1070,28%,1,1766,56.5%,Unknown,46.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,848,Unknown,Unknown,,,Unknown,N,5,Grid,Oval,Hand count,Link,N,,NewYork_02232021_CityCouncilDistrict15
New York City,NY,2021,2/2/2021,City Council District 24 special,James Gennaro,Y,OpenSeat,8,1,6853,6783,6783,4078,60%,1,4078,60.1%,Unknown,60.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,,,Y,N,5,Grid,Oval,Hand count,Link,N,,NewYork_02022021_CityCouncilDistrict24
New York City,NY,2021,2/23/2021,City Council District 31 special,Selvena Brooks-Powers,Y,OpenSeat,9,9,7451,7363,6515,2834,38%,1,3841,59.0%,Unknown,52.2%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,848,Unknown,Unknown,,,Unknown,N,5,Grid,Oval,Hand count,Link,N,,NewYork_02232021_CityCouncilDistrict31
New York City,NY,2021,6/22/2021,CON Council Member 19th Council District,John-Alexander Sakelos,N,OpenSeat,2,1,121,121,121,107,88%,1,107,88.4%,93.4%,88.4%,42,48,113,,0,1,0,0,0,0,0,8,0,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict
New York City,NY,2021,6/22/2021,DEMCouncil Member 17th Council District,Rafael Salamanca Jr.,N,Incumbent,2,1,9049,9049,9049,5428,60%,1,5428,60.0%,81.7%,60.0%,4491,4537,7395,,43,52,0,0,0,0,43,258,232,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict
New York City,NY,2021,6/22/2021,DEMCouncil Member 2nd Council District,Carlina Rivera,N,Incumbent,2,1,21342,21342,21342,15464,72%,1,15464,72.5%,84.3%,72.5%,7886,8014,17990,,24,33,0,0,0,0,24,194,140,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict
New York City,NY,2021,6/22/2021,DEMCouncil Member 30th Council District,Robert F. Holden,N,Incumbent,2,1,9612,9612,9612,5250,55%,1,5250,54.6%,69.0%,54.6%,3009,3075,6628,,5,8,0,0,0,0,5,155,86,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict
New York City,NY,2021,6/22/2021,DEMCouncil Member 41st Council District,Darlene Mealy,N,Challenger,2,1,15447,15447,15447,8849,57%,1,8849,57.3%,77.1%,57.3%,7631,7705,11912,,44,59,0,0,0,0,44,450,241,,,Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D1,Christopher Marte,N,OpenSeat,9,8,21834,21834,19519,8598,39%,1,9801,50.2%,54.3%,44.9%,5621,15592,13107,,44,91,6,0,2217,92,2315,133,117,,"69,076",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict
New York City,NY,2021,6/22/2021,NYC Democratic Primary for City Council D10,Carmen N. De La Rosa,N,OpenSeat,8,8,19583,19583,17267,7910,40%,1,10318,59.8%,67.1%,52.7%,5084,13270,13971,,125,191,24,0,2096,196,2316,248,352,,"83,740",Y,N,5,Grid,Oval,ES&S,Link,Y,,NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict
