Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent Status of Winner,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
Takoma Park,MD,2012,7/17/2012,City Council Ward 5,Jarrett Smith,Y,OpenSeat,3,2,190,190,178,84,44%,1,97,54.5%,Unknown,51.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,0,12,Unknown,Unknown,15.79%,"1,203",Y,N,Unknown,Unknown,Unknown,ES&S (we think),,N,,TakomaPark_07172012_CityCouncilWard5
Portland,ME,2011,11/8/2011,Mayor,Michael Brennan,N,OpenSeat,15,15,20212,19728,16234,5245,27%,1,9061,55.8%,Unknown,45.9%,Unknown,Unknown,Unknown,452,32,Unknown,Unknown,0,Unknown,Unknown,3494,Unknown,Unknown,,Unknown,Y,N,15,Grid,Oval,ES&S DS200/AutoMARK,,N,,Portland_11082011_Mayor
San Francisco,CA,2011,11/8/2011,District Attorney,George Gascon,N,Incumbent*,5,4,197242,183487,161001,76236,42%,1,100245,62.3%,62.0%,54.6%,95318,135011,113720,13196,559,935,123,0,16017,6346,22486,11481,989,42.47%,"464,380",Y,N,3,Columns,Arrow,Optech IIIP-Eagle/AVC Edge/Optech IV-C,Link,Y,"Incumbent appointed January, 2011",SanFrancisco_11082011_DistrictAttorney_tab1
San Francisco,CA,2011,11/8/2011,Mayor,Ed Lee,N,Incumbent*,16,16,197242,194418,141617,59775,31%,1,84457,59.6%,46.1%,43.4%,141590,163919,89545,2004,820,1383,277,0,15811,36713,52801,10124,725,42.47%,"464,380",Y,N,3,Columns,Arrow,Optech IIIP-Eagle/AVC Edge/Optech IV-C,Link,Y,"Incumbent appointed January, 2011",SanFrancisco_11082011_Mayor_tab1
San Francisco,CA,2011,11/8/2011,Sheriff,Ross Mirkarmi,N,OpenSeat,4,3,197242,183233,161729,70457,38%,1,86592,53.5%,62.9%,47.3%,76997,113348,115293,13631,378,657,93,0,21411,0,21504,12970,1174,42.47%,"464,380",Y,N,3,Columns,Arrow,Optech IIIP-Eagle/AVC Edge/Optech IV-C,Link,Y,,SanFrancisco_11082011_Sheriff_tab1
St. Paul,MN,2011,11/8/2011,City Council Ward 1,Melvin Carter,N,Incumbent,3,1,3593,3593,3593,2177,61%,1,2177,60.6%,Unknown,60.6%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,14.85%,"24,193",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard1
St. Paul,MN,2011,11/8/2011,City Council Ward 2,Dave Thune,N,Incumbent,5,3,5428,5298,4934,2078,39%,1,4934,100.0%,Unknown,93.1%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,364,Unknown,Unknown,19.36%,"28,033",Unknown,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard2
St. Paul,MN,2011,11/8/2011,City Council Ward 3,Chris Tolbert,N,Incumbent,4,1,7808,7808,7808,3959,51%,1,3959,50.7%,Unknown,50.7%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,36.78%,"21,228",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard3
St. Paul,MN,2011,11/8/2011,City Council Ward 4,Russ Stark,N,Incumbent,2,1,4285,4285,4285,3284,77%,1,3284,76.6%,Unknown,76.6%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,16.19%,"26,464",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard4
St. Paul,MN,2011,11/8/2011,City Council Ward 5,Amy Brendmoen,N,Challenger,2,1,3693,3693,3693,1853,50%,1,1853,50.2%,Unknown,50.2%,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,Unknown,Unknown,19.11%,"19,323",Y,N,6,Columns,Oval,Hart Verity,Link,N,,StPaul_1108_2011_CityCouncilWard5
