"Percentile";"Year";"sptinc_992_j_US"
p99p100;1820;0.16
p99p100;1821;
p99p100;1822;
p99p100;1823;
p99p100;1824;
p99p100;1825;
p99p100;1826;
p99p100;1827;
p99p100;1828;
p99p100;1829;
p99p100;1830;
p99p100;1831;
p99p100;1832;
p99p100;1833;
p99p100;1834;
p99p100;1835;
p99p100;1836;
p99p100;1837;
p99p100;1838;
p99p100;1839;
p99p100;1840;
p99p100;1841;
p99p100;1842;
p99p100;1843;
p99p100;1844;
p99p100;1845;
p99p100;1846;
p99p100;1847;
p99p100;1848;
p99p100;1849;
p99p100;1850;0.17
p99p100;1851;
p99p100;1852;
p99p100;1853;
p99p100;1854;
p99p100;1855;
p99p100;1856;
p99p100;1857;
p99p100;1858;
p99p100;1859;
p99p100;1860;
p99p100;1861;
p99p100;1862;
p99p100;1863;
p99p100;1864;
p99p100;1865;
p99p100;1866;
p99p100;1867;
p99p100;1868;
p99p100;1869;
p99p100;1870;
p99p100;1871;
p99p100;1872;
p99p100;1873;
p99p100;1874;
p99p100;1875;
p99p100;1876;
p99p100;1877;
p99p100;1878;
p99p100;1879;
p99p100;1880;0.117
p99p100;1881;
p99p100;1882;
p99p100;1883;
p99p100;1884;
p99p100;1885;
p99p100;1886;
p99p100;1887;
p99p100;1888;
p99p100;1889;
p99p100;1890;
p99p100;1891;
p99p100;1892;
p99p100;1893;
p99p100;1894;
p99p100;1895;
p99p100;1896;
p99p100;1897;
p99p100;1898;
p99p100;1899;
p99p100;1900;0.155
p99p100;1901;
p99p100;1902;
p99p100;1903;
p99p100;1904;
p99p100;1905;
p99p100;1906;
p99p100;1907;
p99p100;1908;
p99p100;1909;
p99p100;1910;0.2043
p99p100;1911;
p99p100;1912;
p99p100;1913;0.2043
p99p100;1914;0.2092
p99p100;1915;0.2028
p99p100;1916;0.2137
p99p100;1917;0.213
p99p100;1918;0.197
p99p100;1919;0.2164
p99p100;1920;0.1913
p99p100;1921;0.1918
p99p100;1922;0.1858
p99p100;1923;0.1771
p99p100;1924;0.1847
p99p100;1925;0.2069
p99p100;1926;0.2192
p99p100;1927;0.2124
p99p100;1928;0.2229
p99p100;1929;0.2218
p99p100;1930;0.1938
p99p100;1931;0.1677
p99p100;1932;0.1652
p99p100;1933;0.1748
p99p100;1934;0.1907
p99p100;1935;0.1933
p99p100;1936;0.2092
p99p100;1937;0.2064
p99p100;1938;0.1864
p99p100;1939;0.1957
p99p100;1940;0.2086
p99p100;1941;0.2156
p99p100;1942;0.2058
p99p100;1943;0.186
p99p100;1944;0.1535
p99p100;1945;0.1427
p99p100;1946;0.1429
p99p100;1947;0.1498
p99p100;1948;0.163
p99p100;1949;0.157
p99p100;1950;0.1671
p99p100;1951;0.1601
p99p100;1952;0.1496
p99p100;1953;0.1404
p99p100;1954;0.1394
p99p100;1955;0.1463
p99p100;1956;0.1381
p99p100;1957;0.1353
p99p100;1958;0.1267
p99p100;1959;0.1321
p99p100;1960;0.1268
p99p100;1961;0.1253
p99p100;1962;0.1285
p99p100;1963;0.1299
p99p100;1964;0.1312
p99p100;1965;0.1303
p99p100;1966;0.1295
p99p100;1967;0.1238
p99p100;1968;0.1262
p99p100;1969;0.116
p99p100;1970;0.1069
p99p100;1971;0.1106
p99p100;1972;0.1107
p99p100;1973;0.1089
p99p100;1974;0.1037
p99p100;1975;0.1044
p99p100;1976;0.1034
p99p100;1977;0.1059
p99p100;1978;0.1036
p99p100;1979;0.1085
p99p100;1980;0.1043
p99p100;1981;0.1066
p99p100;1982;0.1099
p99p100;1983;0.1148
p99p100;1984;0.1215
p99p100;1985;0.123
p99p100;1986;0.1197
p99p100;1987;0.1323
p99p100;1988;0.1522
p99p100;1989;0.147
p99p100;1990;0.147
p99p100;1991;0.1365
p99p100;1992;0.1468
p99p100;1993;0.1414
p99p100;1994;0.1404
p99p100;1995;0.1452
p99p100;1996;0.1524
p99p100;1997;0.1598
p99p100;1998;0.1632
p99p100;1999;0.1676
p99p100;2000;0.1735
p99p100;2001;0.166
p99p100;2002;0.161
p99p100;2003;0.1633
p99p100;2004;0.1706
p99p100;2005;0.1806
p99p100;2006;0.1852
p99p100;2007;0.1837
p99p100;2008;0.1794
p99p100;2009;0.1671
p99p100;2010;0.179
p99p100;2011;0.1808
p99p100;2012;0.1948
p99p100;2013;0.1847
p99p100;2014;0.1897
p99p100;2015;0.1889
p99p100;2016;0.1867
p99p100;2017;0.1905
p99p100;2018;0.1925
p99p100;2019;0.1906
p99p100;2020;0.1788
p99p100;2021;0.1903
