country,countryname,OECD,EU,edate,date,party,partyname,parfam,coderID,coderyear,reltest,pervote,voteest,presvote,absseat,totseats,progtype,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,peruncod,total,rile,planeco,markeco,welfare,intpeace
11,Sweden,10,10,21/9/1998,199809,11320,SdaP Social Democratic Labour Party,30,228,1998,0.631,36.39,0,99.99,131,349,1,2.734375,0,0,0,0,0,4.296875,4.6875,0,0,1.171875,2.34375,0,0,0.390625,0,0,0,0,0.390625,3.90625,0,0,0,0,0,0.390625,0,7.421875,3.125,0,0,10.15625,0,0,1.953125,1.171875,10.9375,12.5,0,7.8125,0,0,0,0.390625,0,1.5625,7.03125,0,0,1.171875,0,0,0,0,1.953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,256,-3.515625,0,10.546875,23.4375,0
11,Sweden,10,10,15/9/2002,200209,11320,SdaP Social Democratic Labour Party,30,228,2003,999,39.8543373336763,0,99.99,144,349,1,0.732600748538971,0,0,0,0,0.732600748538971,6.59340667724609,1.09890115261078,0,0,1.09890115261078,2.56410264968872,0,0,1.09890115261078,0,0.366300374269485,0,0,2.19780230522156,1.8315018415451,0.366300374269485,0,0,0,0,0,0,0.732600748538971,2.19780230522156,0,0,2.19780230522156,0,0,5.12820529937744,8.42490863800049,5.86080598831177,9.89011001586914,0,10.9890108108521,0,0,0,0,0,6.59340667724609,4.39560461044312,0.732600748538971,0,5.49450540542603,0,0,0,1.46520149707794,8.42490863800049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79120879120879,273,-18.3150177896023,0.366300374269485,4.39560461044312,15.7509160041809,0.732600748538971
11,Sweden,10,10,15/9/1991,199109,11420,FP Liberal People's Party,40,228,1994,0.631,9.1277246437927,0,99.99,33,349,1,0,0,0,0,0,0,5.35714285714286,7.5,0,0,13.5714285714286,6.42857142857143,0,0,0,0,0,0,0,5.35714285714286,3.21428571428571,0.357142857142857,0,0,0,0,1.07142857142857,0,1.42857142857143,0.714285714285714,0,0,0.357142857142857,0,0,4.28571428571429,0.357142857142857,7.85714285714286,2.5,0,2.5,0,0.357142857142857,0,0,0,0,0,0,0,1.78571428571429,0,0,0,1.42857142857143,11.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1428571428571,280,3.92857142857143,0.357142857142857,5.71428571428571,10.3571428571429,0
11,Sweden,10,10,18/9/1994,199409,11420,FP Liberal People's Party,40,228,1997,0.631,7.19202813767879,0,99.99,26,349,1,0,0,0,0,1.5625,0,2.60416666666667,4.6875,0,0,5.20833333333333,2.08333333333333,0,0,0,0,1.04166666666667,0,0,5.72916666666667,7.8125,0,0,0,0,0,1.5625,0,0.520833333333333,4.16666666666667,0,0,10.4166666666667,0,0,3.64583333333333,1.04166666666667,26.5625,2.08333333333333,0,3.64583333333333,0,2.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1.04166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,192,19.2708333333333,0,16.1458333333333,28.6458333333333,1.5625
11,Sweden,10,10,21/9/1998,199809,11420,FP Liberal People's Party,40,228,1998,0.631,4.72,0,99.99,17,349,1,0,0,0,0,0,3.57142857142857,3.57142857142857,3.57142857142857,0,0,5.95238095238095,0,0,0,3.57142857142857,0,0,0,0,3.57142857142857,5.95238095238095,0,0,0,0,0,0,0,0,1.19047619047619,0,0,9.52380952380952,0,0,5.95238095238095,0,7.14285714285714,3.57142857142857,0,5.95238095238095,0,0,0,2.38095238095238,0,3.57142857142857,1.19047619047619,0,0,1.19047619047619,0,0,0,0,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1904761904762,84,14.2857142857143,0,13.0952380952381,10.7142857142857,3.57142857142857
11,Sweden,10,10,15/9/2002,200209,11420,FP Liberal People's Party,40,228,2003,999,13.3939959405734,0,99.99,48,349,1,0,0,0,0.932400941848755,0,0.233100235462189,6.06060600280762,6.06060600280762,0,0,4.42890453338623,2.09790205955505,0,0,0,0,1.63170158863068,0,0,5.36130523681641,3.72960376739502,1.86480188369751,0,0,0,1.63170158863068,0,0,0.699300706386566,2.3310022354126,0.233100235462189,0,1.39860141277313,0,0,8.39160823822021,4.42890453338623,5.59440565109253,2.3310022354126,0,10.4895105361938,0,0.233100235462189,0,2.09790205955505,0,3.03030300140381,2.3310022354126,0,0,0.932400941848755,0,0,0,1.63170158863068,7.45920753479004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3543123543124,429,0.93240088224411,2.0979021191597,6.75990664958954,7.92540788650513,0.233100235462189
11,Sweden,10,10,15/9/1991,199109,11520,KdS Christian Democratic Community,50,228,1994,0.631,7.13522305214942,0,99.99,26,349,1,0,0,0,0,0,2.27272727272727,9.09090909090909,2.27272727272727,0,0,9.09090909090909,4.54545454545455,0,0,2.27272727272727,0,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,11.3636363636364,4.54545454545455,6.81818181818182,13.6363636363636,0,0,0,0,0,6.81818181818182,0,0,0,0,0,0,0,0,0,9.09090909090909,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54545454545455,44,-4.54545454545455,0,9.09090909090909,20.4545454545455,2.27272727272727
11,Sweden,10,10,18/9/1994,199409,11520,KdS Christian Democratic Community,50,228,1997,0.631,4.06754338912149,0,99.99,15,349,1,0,0,0,0,0,0,6.97674418604651,5.81395348837209,0,0,2.32558139534884,1.16279069767442,0,0,0,0,0,0,0,5.81395348837209,4.65116279069767,1.16279069767442,0,0,0,0,0,0,3.48837209302326,0,0,0,2.32558139534884,0,0,11.6279069767442,4.65116279069767,23.2558139534884,6.97674418604651,0,0,0,0,0,12.7906976744186,0,2.32558139534884,0,0,0,0,0,0,0,0,1.16279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48837209302326,86,13.953488372093,1.16279069767442,8.13953488372093,30.2325581395349,0
11,Sweden,10,10,21/9/1998,199809,11520,KdS Christian Democratic Community,50,228,1998,0.631,11.77,0,99.99,42,349,1,0,0,0,0,0,0,1.79640718562874,0.598802395209581,0,0,0.598802395209581,0.598802395209581,0,0,1.19760479041916,0,0,0,0,2.39520958083832,2.39520958083832,0,0,0,0,0,0.598802395209581,0,2.39520958083832,0,0,0,13.7724550898204,0,0,10.7784431137725,0,7.78443113772455,18.562874251497,0,10.1796407185629,0,0,0,7.18562874251497,0,9.58083832335329,0,0,0,0,0,0,0,0,3.59281437125748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98802395209581,167,4.79041916167665,0,16.1676646706587,26.3473053892216,0
11,Sweden,10,10,15/9/2002,200209,11520,KdS Christian Democratic Community,50,228,2003,999,9.14983221489165,0,99.99,33,349,1,0,0,0,0,0,0.301204830408096,3.91566276550293,1.20481932163239,0,0.301204830408096,6.02409648895264,1.80722892284393,0,0,0.301204830408096,0,2.40963864326477,0,0,2.40963864326477,2.10843372344971,1.20481932163239,0,0,0.301204830408096,1.20481932163239,0,0,1.20481932163239,0.903614461421967,0,0,1.80722892284393,0,0,10.5421686172485,0.301204830408096,4.81927728652954,10.843373298645,0,9.0361442565918,0,0,0,15.6626510620117,0,6.32530117034912,0,0,0,1.80722892284393,0,0.903614461421967,0.602409660816193,0.301204830408096,5.42168664932251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02409638554217,332,6.32530218362808,1.20481932163239,4.2168675661087,15.6626505851746,0.301204830408096
