"country","countryname","edate","party","partyname","day","month","year","econlr","econlr.se","econlr.lwr","econlr.upr","authlib","authlib.se","authlib.lwr","authlib.upr","tradmod","tradmod.se","tradmod.lwr","tradmod.upr"
11,"Sweden",1988-09-18,11110,"Green Ecology Party",18,9,1988,0.694740774804362,0.2116947121664,-0.172627257201024,1.63579882697864,-1.66956559730774,0.54489282849159,-3.09790433871767,-0.268771624204799,-0.123286072424149,0.34693089116233,-1.28096925276438,1.02279639502415
11,"Sweden",1991-09-15,11110,"Green Ecology Party",15,9,1991,0.800297790751463,0.178914457813254,0.0298153144809866,1.66285085543236,-2.0539292235749,0.309566103617272,-3.24351308111348,-1.10361850339422,-0.227498117735658,0.193253383099859,-1.08323609059709,0.653089135740833
11,"Sweden",1994-09-18,11110,"Green Ecology Party",18,9,1994,0.864604638370046,0.0568089170643524,0.414741834244427,1.3405683075131,-1.96700289082571,0.400256522332393,-3.24572815732517,-0.778038492779033,-0.453165973306988,0.269515226324897,-1.46774484790858,0.549925653002215
11,"Sweden",1998-09-21,11110,"Green Ecology Party",21,9,1998,0.528161508934213,0.083088213128384,-0.0335168261740878,1.08223724432251,-1.85953132217343,0.335534686657478,-3.05260125746065,-0.777587861715225,-0.561301919438578,0.216567164854494,-1.42677884520425,0.398098759490535
11,"Sweden",2002-09-15,11110,"Green Ecology Party",15,9,2002,0.547263509727376,0.078180225838122,0.0229867766295785,1.11516981938495,-1.53210367349861,0.198900468972664,-2.44683478675508,-0.717357440634909,-0.366013913546657,0.152030635138711,-1.11147524924047,0.400960302790154
11,"Sweden",2006-09-17,11110,"Green Ecology Party",17,9,2006,-0.0213980528114841,0.0428085007501195,-0.419969451840717,0.374410707485362,-0.640839848271238,0.0512698284634287,-1.11882233080051,-0.22216900522394,0.00420564311744676,0.0800089088501746,-0.541197096008178,0.572744455734083
11,"Sweden",2010-09-19,11110,"Green Ecology Party",19,9,2010,0.523565651153849,0.0442413015887798,0.124779930773244,0.940317088438785,-0.657500993309591,0.0369071020868548,-1.04339678337281,-0.306555638756987,-0.23829263273534,0.0598490166624074,-0.710519701794577,0.260453877616488
11,"Sweden",1944-09-17,11220,"Communist Party",17,9,1944,-0.0700605024649764,0.238457149576172,-1.03436157138955,0.908230279888488,-1.51676536292317,0.299877528967615,-2.691202816447,-0.502985630571695,0.345507197933833,0.245891520384892,-0.644333424916475,1.30563615804534
11,"Sweden",1948-09-19,11220,"Communist Party",19,9,1948,-0.357124430437202,0.108651569985425,-0.996986754070823,0.285119593249028,-1.47167364635741,0.201714787152143,-2.41047735404278,-0.654777478203456,0.0874559635280641,0.179525638478405,-0.736654527840293,0.939862389143613
11,"Sweden",1952-09-21,11220,"Communist Party",21,9,1952,0.0501941544443648,0.0841479686655964,-0.514434098680534,0.607482482952303,-0.810038464681756,0.0881626137702851,-1.41101982656836,-0.24544726105832,0.307763417038363,0.114250749292911,-0.355197146419903,0.964740301594195
11,"Sweden",1956-09-26,11220,"Communist Party",26,9,1956,-0.308926825500209,0.0297946601772103,-0.653832889365006,0.0247650093216322,-1.10567599397151,0.139658879262447,-1.93809443083845,-0.442981004169562,0.35072620929378,0.133995109864528,-0.343916396063777,1.08987521195512
11,"Sweden",1958-06-01,11220,"Communist Party",1,6,1958,0.45917097375317,0.0288520544614893,0.133287246103257,0.795218616533475,-0.134859321478898,0.0907953423591543,-0.74683663960496,0.437704193709334,1.83653318973396,0.0760911057689673,1.29980688121282,2.41368915492465
11,"Sweden",1960-09-18,11220,"Communist Party",18,9,1960,0.113280062591516,0.045129536430554,-0.297303151820933,0.539395858231848,-0.702297597430567,0.202114568255909,-1.63425491764078,0.151729011504149,0.598448745476508,0.192596166566724,-0.269044962274869,1.49054285450059
11,"Sweden",1964-09-20,11220,"Communist Party",20,9,1964,-1.04342952366533,0.0635402647533076,-1.55800250692834,-0.581160463725245,-1.28272966816082,0.268698312069132,-2.34353503400973,-0.322158481548052,-0.0909959269696708,0.213076982782,-0.980513864579863,0.820225504367436
11,"Sweden",1968-09-15,11220,"Vk Left Communist Party",15,9,1968,-0.869592848987797,0.0303089982210792,-1.22501489725704,-0.541750648689048,-1.67706566258808,0.160542810523167,-2.54413564108652,-0.960800408565739,-0.582479745958627,0.109666269973845,-1.22133311753572,0.0974588798701088
11,"Sweden",1970-09-20,11220,"Vk Left Communist Party",20,9,1970,-0.761467785441953,0.038296185912325,-1.16268196989878,-0.388556893311968,-1.59710482162596,0.237308549447819,-2.63071279328233,-0.708928929264893,-0.620244012116781,0.167225756231881,-1.39182954573455,0.226477531541492
11,"Sweden",1973-09-16,11220,"Vk Left Communist Party",16,9,1973,-0.519897567100481,0.0361799230115779,-0.892035595202182,-0.150098584884145,-1.20184651300942,0.124612316237524,-1.93666735866281,-0.572444459702395,-0.455742920017017,0.112954890584823,-1.06520067321626,0.213172853601314
11,"Sweden",1976-09-19,11220,"Vk Left Communist Party",19,9,1976,-0.524147148834371,0.0179083970624961,-0.790740871926525,-0.269057325414891,-0.944623609156531,0.113527050796336,-1.64405173440343,-0.33204531609054,-0.315719491735998,0.116426901769746,-0.961122548647538,0.358887965968606
11,"Sweden",1979-09-16,11220,"Vk Left Communist Party",16,9,1979,-1.09699953893511,0.0296666595259369,-1.44008438874863,-0.762666205733661,-0.802804455977007,0.0556862128016039,-1.28165063244966,-0.364660648370323,-0.0809947107862523,0.083987992258949,-0.635897559627581,0.495860045496426
11,"Sweden",1982-09-19,11220,"Vk Left Communist Party",19,9,1982,-0.80631600395729,0.0355732149546926,-1.21294606211755,-0.454122938369819,-0.439527059432608,0.0648349931473639,-0.965132347700346,0.0504334195330005,-0.368190278824737,0.0899069801328224,-0.931317872999754,0.236693052355663
11,"Sweden",1985-09-15,11220,"Vk Left Communist Party",15,9,1985,-0.394568469134486,0.0183637562211801,-0.665316873400636,-0.125487008792041,-0.744104038681782,0.0838809248904602,-1.30618821501383,-0.203111741254241,-0.5545438356822,0.0991072663166269,-1.11846974032789,0.0828868337083819
11,"Sweden",1988-09-18,11220,"Vk Left Communist Party",18,9,1988,-0.0930076408560643,0.0338631353830909,-0.45549367779057,0.246782930551101,-0.756052850452714,0.132786641666093,-1.52361175349066,-0.0488094410414382,-0.586101451932934,0.136012391318711,-1.27896847212342,0.180080777081917
11,"Sweden",1991-09-15,11220,"Vp Left Party",15,9,1991,-0.089798777455077,0.0815639989245603,-0.651423963844877,0.475815076201416,-1.81782024569612,0.21516630299342,-2.7224962775903,-0.971287546621428,-0.828486976043458,0.127464765635521,-1.49067147677428,-0.0720426474332733
11,"Sweden",1994-09-18,11220,"Vp Left Party",18,9,1994,0.194507115280339,0.032459743776023,-0.158343789269952,0.541597316742505,-2.24752517794346,0.245778444217124,-3.27316441497905,-1.33140705254119,-0.899109812138843,0.116372885713485,-1.57121654508893,-0.237868319579737
11,"Sweden",1998-09-21,11220,"Vp Left Party",21,9,1998,-0.155903334434148,0.0209716648612399,-0.430250397295338,0.129015866570152,-2.26441138008603,0.229168508766333,-3.24703014283406,-1.39715688234113,-0.805273623916132,0.106840190274831,-1.42090472394231,-0.113502193415028
11,"Sweden",2002-09-15,11220,"Vp Left Party",15,9,2002,-0.466608533861052,0.0276606995156286,-0.792763116269563,-0.130352733962477,-1.8157945609191,0.141211723503651,-2.62226286683429,-1.17168802406964,-0.863677345865635,0.0702708502002051,-1.37241800253854,-0.306707394402925
11,"Sweden",2006-09-17,11220,"Vp Left Party",17,9,2006,-1.55794494425798,0.0388001761417237,-1.95598659451569,-1.19289929467398,-0.833749025169439,0.05077552804406,-1.28438546847933,-0.396436677705279,-0.351607497924456,0.0653467642511847,-0.832599200848036,0.155976024353874
11,"Sweden",2010-09-19,11220,"Left Party",19,9,2010,-1.28756596613422,0.17841700600825,-2.17262905225374,-0.506731726634563,-1.23461323632559,0.06406798681742,-1.76291530311589,-0.782065000150863,-1.33295823660028,0.0201973015211311,-1.61035075501188,-1.06227793998238
11,"Sweden",1944-09-17,11320,"SdaP Social Democrats",17,9,1944,0.168288398034287,0.115257189227727,-0.478163562349939,0.846553226239837,-1.9670191621643,0.436778534728421,-3.34294554308235,-0.786856868423429,-0.0902242985103703,0.269608546704475,-1.1155339234574,0.914460685549717
11,"Sweden",1948-09-19,11320,"SdaP Social Democratic Labour Party",19,9,1948,0.494407468348218,0.0501348896014586,0.0807112362119074,0.931131582453813,-2.27614829525595,0.376320504062375,-3.5172286169274,-1.16672524387809,-0.40508187564913,0.212412007370462,-1.27811979829375,0.4996289258445
11,"Sweden",1952-09-21,11320,"SdaP Social Democratic Labour Party",21,9,1952,0.738988867867326,0.0931260725476127,0.153386602345817,1.36294210304356,-2.41810221024129,0.331660836528168,-3.62460280658328,-1.35756894527373,-0.506108047934406,0.187775618683019,-1.31350023780745,0.349086557248476
11,"Sweden",1956-09-26,11320,"SdaP Social Democratic Labour Party",26,9,1956,0.407197596758937,0.0333295215482173,0.0644582021438977,0.775573371327886,-2.37632642233619,0.372466329622934,-3.65963777935903,-1.26022368489975,-0.4276128169174,0.206155996036267,-1.27953192691342,0.497574969086128
11,"Sweden",1958-06-01,11320,"SdaP Social Democratic Labour Party",1,6,1958,0.8364873162517,0.0200889657098289,0.564062898381516,1.12282290735702,-2.21760653526736,0.520676676769484,-3.73071079923385,-0.828581622040351,-0.360165119378219,0.354681309275694,-1.47527928954636,0.823299396485244
11,"Sweden",1960-09-18,11320,"SdaP Social Democratic Labour Party",18,9,1960,0.0487809342967589,0.0352782592643625,-0.325880211197728,0.413437346142304,-2.14214601591024,0.544938645559557,-3.71506045878465,-0.820654871765221,-0.236343799011078,0.373810682957924,-1.42486605328107,0.994305751859677
11,"Sweden",1964-09-20,11320,"SdaP Social Democratic Labour Party",20,9,1964,0.0993552623233388,0.0222655333530256,-0.187720662760749,0.389198438472888,-2.21490146461882,0.408698563117961,-3.54893119621258,-1.09431451367132,-0.0865390038041668,0.277882841013103,-1.08917982399797,0.956075576514656
11,"Sweden",1968-09-15,11320,"SdaP Social Democratic Labour Party",15,9,1968,0.0914411045419997,0.0878966904137672,-0.487956029225759,0.664641526268718,-2.26648494818655,0.407836842187123,-3.62284069128172,-1.14091950146441,-0.563075200940719,0.255808528857383,-1.48728409151204,0.483773710300603
11,"Sweden",1970-09-20,11320,"SdaP Social Democratic Labour Party",20,9,1970,0.142948075255884,0.030119082841348,-0.185944796695828,0.481593741093015,-2.24966200375203,0.353969847274107,-3.49331359662716,-1.21452482401083,-0.841670975594332,0.17699663458759,-1.67227341745895,-0.00650560976136438
11,"Sweden",1973-09-16,11320,"SdaP Social Democratic Labour Party",16,9,1973,0.78069677272644,0.132593209808262,0.0913043112721923,1.51738136320196,-1.88825086961415,0.359366884797949,-3.17177911319878,-0.793988082439947,-0.748303430668661,0.223049022374849,-1.63747477088954,0.210580904614336
