country,chamber,party,seats,share,color
Canada,House of Commons,Liberal,158,46.884273,#EA6D6A
Canada,House of Commons,New Democratic,25,7.418397626,#F4A460
Canada,House of Commons,Conservative,117,34.71810089,#6495ED
Canada,House of Commons,Bloc Québécois,32,9.495548961,#87CEFA
Canada,House of Commons,Green,2,0.59347181,#99C955
Canada,House of Commons,Independent,3,0.890207715,#CCCCCC
