State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Oregon,,,,,,,0.005,0.002,0.004,0.003,0.004,0.003,0.002,0.003,0.002,0.002,0.008,0.01,0.013,0.014,0.016,0.016,0.018
Pennsylvania,0.024,0.027,0.029,0.029,0.028,0.028,0.023,0.02,0.019,0.02,0.02,0.025,0.025,0.033,0.045,0.047,0.061,0.075,0.086,0.088,0.092,0.1,0.108
Rhode Island,0.063,0.053,0.048,0.043,0.037,0.03,0.025,0.023,0.023,0.023,0.021,0.021,0.018,0.017,0.014,0.015,0.018,0.021,0.027,0.029,0.039,0.045,0.057
South Carolina,0.437,0.432,0.484,0.528,0.556,0.564,0.589,0.586,0.589,0.607,0.598,0.584,0.552,0.514,0.456,0.429,0.388,0.348,0.305,0.304,0.298,0.295,0.279
South Dakota,,,,,,,,0,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.006,0.013
Tennessee,0.106,0.132,0.175,0.196,0.214,0.227,0.245,0.255,0.256,0.261,0.244,0.238,0.217,0.193,0.183,0.174,0.161,0.165,0.158,0.158,0.16,0.164,0.167
Texas,,,,,,,0.275,0.303,0.31,0.247,0.218,0.204,0.177,0.159,0.147,0.144,0.127,0.124,0.125,0.12,0.119,0.115,0.118
Utah,,,,,,,0.004,0.001,0.001,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.004,0.005,0.006,0.006,0.007,0.008,0.011
Vermont,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.01
Virginia,0.434,0.446,0.471,0.478,0.479,0.469,0.45,0.433,0.419,0.418,0.384,0.356,0.326,0.299,0.268,0.247,0.221,0.206,0.185,0.189,0.188,0.196,0.194
Washington,,,,,,,0.127,0.003,0.009,0.004,0.004,0.005,0.005,0.005,0.004,0.004,0.013,0.017,0.021,0.026,0.031,0.032,0.036
West Virginia,0.095,0.098,0.115,0.121,0.112,0.096,0.078,0.056,0.041,0.042,0.043,0.045,0.053,0.059,0.066,0.062,0.057,0.048,0.039,0.033,0.031,0.032,0.034
Wisconsin,,,,0.012,0.018,0.006,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.004,0.004,0.008,0.019,0.029,0.039,0.05,0.057,0.063
Wyoming,,,,,,,,,0.02,0.014,0.015,0.01,0.015,0.007,0.006,0.004,0.009,0.007,0.008,0.007,0.008,0.008,0.008
